Árvore de Busca em Largura a partir do vértice 1000
vértice 569: pai = -1, nível = -1
vértice 570: pai = 38710, nível = 12
vértice 571: pai = 7607, nível = 12
vértice 572: pai = 20913, nível = 7
vértice 573: pai = 572, nível = 8
vértice 574: pai = 572, nível = 8
vértice 575: pai = -1, nível = -1
vértice 576: pai = -1, nível = -1
vértice 577: pai = 578, nível = 9
vértice 578: pai = 32527, nível = 8
vértice 579: pai = -1, nível = -1
vértice 580: pai = -1, nível = -1
vértice 581: pai = 16439, nível = 10
vértice 582: pai = -1, nível = -1
vértice 583: pai = -1, nível = -1
vértice 584: pai = -1, nível = -1
vértice 585: pai = 66670, nível = 11
vértice 586: pai = 585, nível = 12
vértice 587: pai = -1, nível = -1
vértice 588: pai = -1, nível = -1
vértice 589: pai = 590, nível = 12
vértice 590: pai = 23101, nível = 11
vértice 591: pai = -1, nível = -1
vértice 592: pai = -1, nível = -1
vértice 593: pai = -1, nível = -1
vértice 594: pai = -1, nível = -1
vértice 595: pai = -1, nível = -1
vértice 596: pai = -1, nível = -1
vértice 597: pai = -1, nível = -1
vértice 598: pai = -1, nível = -1
vértice 599: pai = -1, nível = -1
vértice 600: pai = -1, nível = -1
vértice 601: pai = 5669, nível = 11
vértice 602: pai = 24112, nível = 11
vértice 603: pai = -1, nível = -1
vértice 604: pai = 13, nível = 8
vértice 605: pai = 3914, nível = 11
vértice 606: pai = 605, nível = 12
vértice 607: pai = -1, nível = -1
vértice 608: pai = 21090, nível = 9
vértice 609: pai = -1, nível = -1
vértice 610: pai = -1, nível = -1
vértice 611: pai = -1, nível = -1
vértice 612: pai = -1, nível = -1
vértice 613: pai = -1, nível = -1
vértice 614: pai = -1, nível = -1
vértice 615: pai = 100, nível = 7
vértice 616: pai = -1, nível = -1
vértice 617: pai = 10732, nível = 12
vértice 618: pai = -1, nível = -1
vértice 619: pai = -1, nível = -1
vértice 620: pai = -1, nível = -1
vértice 621: pai = -1, nível = -1
vértice 622: pai = -1, nível = -1
vértice 623: pai = -1, nível = -1
vértice 624: pai = -1, nível = -1
vértice 625: pai = -1, nível = -1
vértice 626: pai = 10, nível = 10
vértice 627: pai = 10, nível = 10
vértice 628: pai = -1, nível = -1
vértice 629: pai = 535, nível = 11
vértice 630: pai = -1, nível = -1
vértice 631: pai = -1, nível = -1
vértice 632: pai = 60083, nível = 9
vértice 633: pai = 632, nível = 10
vértice 634: pai = -1, nível = -1
vértice 635: pai = -1, nível = -1
vértice 636: pai = 2284, nível = 11
vértice 637: pai = 13011, nível = 8
vértice 638: pai = -1, nível = -1
vértice 639: pai = -1, nível = -1
vértice 640: pai = -1, nível = -1
vértice 641: pai = 23721, nível = 10
vértice 642: pai = 641, nível = 11
vértice 643: pai = -1, nível = -1
vértice 644: pai = 149, nível = 10
